month,value,type
Dec,24,Overcast
Jan,27,Overcast
Feb,24,Overcast
Mar,13,Overcast
Apr,12,Overcast
Dec,21,Clear-sky
Jan,18,Clear-sky
Feb,13,Clear-sky
Mar,21,Clear-sky
Apr,27,Clear-sky
